iter	Passed	Remaining
819	29584	6494
820	29615	6457
821	29648	6420
822	29678	6382
823	29709	6345
824	29740	6308
825	29774	6272
826	29807	6235
827	29838	6198
828	29872	6161
829	29901	6124
830	29933	6087
831	29965	6050
832	30000	6014
833	30032	5977
834	30061	5940
835	30094	5903
836	30126	5866
837	30155	5829
838	30184	5792
839	30214	5755
840	30245	5718
841	30275	5681
842	30313	5645
843	30344	5608
844	30377	5572
845	30408	5535
846	30439	5498
847	30475	5462
848	30506	5425
849	30535	5388
850	30567	5351
851	30596	5314
852	30628	5278
853	30659	5241
854	30690	5204
855	30720	5167
856	30750	5131
857	30781	5094
858	30817	5058
859	30849	5022
860	30881	4985
861	30913	4948
862	30944	4912
863	30975	4875
864	31005	4838
865	31035	4802
866	31066	4765
867	31097	4729
868	31128	4692
869	31159	4655
870	31188	4619
871	31220	4582
872	31250	4546
873	31282	4509
874	31313	4473
875	31351	4437
876	31383	4401
877	31416	4365
878	31446	4328
879	31476	4292
880	31507	4255
881	31537	4219
882	31567	4182
883	31597	4146
884	31629	4109
885	31657	4073
886	31687	4036
887	31717	4000
888	31747	3963
889	31778	3927
890	31806	3891
891	31838	3854
892	31873	3819
893	31904	3782
894	31934	3746
895	31965	3710
896	31995	3674
897	32025	3637
898	32055	3601
899	32085	3565
900	32116	3528
901	32149	3492
902	32180	3456
903	32211	3420
904	32241	3384
905	32271	3348
906	32302	3312
907	32332	3276
908	32367	3240
909	32399	3204
910	32431	3168
911	32461	3132
912	32491	3096
913	32522	3060
914	32551	3023
915	32581	2987
916	32612	2951
917	32642	2915
918	32673	2879
919	32706	2844
920	32748	2809
921	32781	2773
922	32811	2737
923	32842	2701
924	32877	2665
925	32914	2630
926	32948	2594
927	32979	2558
928	33011	2522
929	33043	2487
930	33073	2451
931	33103	2415
932	33134	2379
933	33166	2343
934	33200	2308
935	33235	2272
936	33269	2236
937	33310	2201
938	33347	2166
939	33400	2131
940	33457	2097
941	33509	2063
942	33566	2028
943	33607	1993
944	33644	1958
945	33685	1922
946	33722	1887
947	33763	1852
948	33794	1816
949	33827	1780
950	33864	1744
951	33903	1709
952	33952	1674
953	33980	1638
954	34011	1602
955	34050	1567
956	34093	1531
957	34135	1496
958	34184	1461
959	34222	1425
960	34269	1390
961	34313	1355
962	34357	1320
963	34408	1284
964	34454	1249
965	34492	1214
966	34535	1178
967	34575	1143
968	34616	1107
969	34654	1071
970	34689	1036
971	34720	1000
972	34753	964
973	34783	928
974	34814	892
975	34845	856
976	34877	821
977	34915	785
978	34958	749
979	35000	714
980	35036	678
981	35078	642
982	35118	607
983	35164	571
984	35202	536
985	35249	500
986	35296	464
987	35332	429
988	35364	393
989	35397	357
990	35438	321
991	35477	286
992	35510	250
993	35542	214
994	35574	178
995	35610	143
996	35646	107
997	35679	71
998	35710	35
999	35743	0
